Mozilla/5.0 (Linux; Android 9.0; LG Isai VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 10; Wiko Sunny 5 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy A22 5G Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 13; Lenovo A7700) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; LG K11 X410TKB) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.2987.108 UCBrowser/95 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Motorola Nexus 6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Wiko Sunset) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Nokia Lumia 928) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy S5 Sport) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Oppo R7 Lite) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 12; Realme Narzo 10a) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 13; Wiko Y52) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/93.0.2987.108 UCBrowser/104 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; ZTE B880) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 13; Nokia Lumia 930 Gold) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/117.0.2987.108 UCBrowser/117 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; LG Joy) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/104.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Tecno Spark Go 2020Tecno Spark Go 2020) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.2987.108 UCBrowser/117 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Oppo A9 2020) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy M11 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 10; Huawei Enjoy 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy J7 2016 SM-J7109) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 10; Intex Aqua Eco 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Vivo X50 Pro+) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.2987.108 UCBrowser/112 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Lenovo ZP) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/120.0.0.0
Mozilla/5.0 (Linux; Android 11; Karbonn Titanium Jumbo 3Karbonn Titanium Jumbo 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 9.0; iBall Andi 3.5V Genius2iBall Andi 3.5V Genius2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 10; Honor X30 Max) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/110.0.0.0
Mozilla/5.0 (Linux; Android 13; Itel A46Itel A46) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 11; Motorola Moto G200 5G Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Oppo Find X2 Neo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/105.0.4447.38
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy S6 Edge SCV31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 12; LG Q7 Dual Q610EMW) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.2987.108 UCBrowser/116 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Qumo Quest 510Qumo Quest 510) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.2987.108 UCBrowser/106 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Karbonn Mobiles A51) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 12; Manta MSP95013G MEZO 1Manta MSP95013G MEZO 1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Nokia C2 2nd Edition Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 11; Irbis SP551Irbis SP551) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 13; Realme X50 Pro Play) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 13; Huawei MediaPad M6 8.4Huawei MediaPad M6 8.4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Itel WishItel Wish) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 13; Xiaomi 12 Pro Dimensity) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 13; Redmi Note 9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 12; Qumo Quest 453Qumo Quest 453) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 9.0; LG GT500s) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Rex 80 S5222R) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy Core 2 G3556D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Huawei Vision) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 13; Intex aqua Y4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 10; Sony Xperia T HSPA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 12; Motorola Atrix 2) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.2987.108 UCBrowser/101 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Sony Xperia ZL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 12; InFocus Bingo 21InFocus Bingo 21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 12; Hisense Infinity E Max) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy Tab A 8.0 2017Samsung Galaxy Tab A 8.0 2017) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy Note 20 Ultra 5G Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy F12) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.2987.108 UCBrowser/98 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Huawei Honor 3X Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Samsung Galaxy J3 2017 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 10; Huawei Enjoy 7S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Oppo Reno7 SE 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Mega Plus i9152P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Intex aqua G2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 10; Realme 5i) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36 OPR/103.0.4447.38
Mozilla/5.0 (Linux; Android 10; ZTE Nubia N2) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/114.0.2987.108 UCBrowser/99 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; iBall Andi4-B2 IPSiBall Andi4-B2 IPS) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Grand Duos) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.2987.108 UCBrowser/115 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Huawei P Smart+ Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/102.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Intex Aqua Ring) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy S5 Neo G903F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 10; Alcatel 1B 2022 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy S22 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Micromax Bolt Selfie) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Intex cloud Power+) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; i-mobile i-STYLE 8.5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 12; Motorola One Vision) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 13; Honor V9 Play Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 12; Micromax Canvas Fire 4G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/106.0.4447.38
Mozilla/5.0 (Linux; Android 10; Xiaomi Civi) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.2987.108 UCBrowser/120 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Intex cloud Flash) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy M51 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy K Zoom C1116) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 9.0; LG K10 LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/101.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy S7 Edge Olympic Games Edition) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Motorola Moto G 5G Plus) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/99.0.2987.108 UCBrowser/106 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Vivo Y35) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 12; Philips Xenium X525) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 13; Xiaomi Redmi 3 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; Vivo S1 Prime) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Samsung Galaxy S II Plus) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 10; Hisense Rock V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/107.0.4447.38
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Note 10+) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 13; Hisense Rock C30) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; i-mobile IQ 5.8 DTV) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 10; Intex Aqua Lions 3G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 11; Karbonn Aura PowerKarbonn Aura Power) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/105.0.2987.108 UCBrowser/95 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Huawei C8650) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung SGH-i718) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/104.0.0.0
Mozilla/5.0 (Linux; Android 11; Huawei Mate 9 Dual SIM) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; LG Lucid 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Vivo Y83) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/99.0.4447.38
Mozilla/5.0 (Linux; Android 12; Huawei P30) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 12; Huawei Y3 2017 MT6737M) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.2987.108 UCBrowser/100 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia T2 Ultra) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36 OPR/113.0.4447.38
Mozilla/5.0 (Linux; Android 11; LG Optimus Net) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 9.0; LG G4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy J2 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 13; Archos Sense 47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/106.0.0.0
Mozilla/5.0 (Linux; Android 11; Lenovo Lemon 3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/105.0.4447.38
Mozilla/5.0 (Linux; Android 12; Wiko Robby) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/114.0.4447.38
Mozilla/5.0 (Linux; Android 10; iBall Andi 5F InfinitoiBall Andi 5F Infinito) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 OPR/114.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; LG K8 2017) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/98.0.4447.38
Mozilla/5.0 (Linux; Android 12; ZTE Grand S Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 12; Keneksi OrionKeneksi Orion) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.2987.108 UCBrowser/117 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Xiaomi 11T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 13; Vivo X21) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Keneksi FloraKeneksi Flora) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Alcatel OT 710D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Philips X586) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 10; Lenovo Moto G4 Play) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 13; Alcatel OT 255D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 OPR/105.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy J1 Duos LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.0.0 Safari/537.36 OPR/115.0.0.0
Mozilla/5.0 (Linux; Android 13; Huawei Mate 9 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/118.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Huawei MediaPad M5 10 WiFiHuawei MediaPad M5 10 WiFi) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/102.0.2987.108 UCBrowser/110 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Samsung Galaxy Note 20 LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/112.0.0.0
Mozilla/5.0 (Linux; Android 11; Motorola Moto G Stylus 5G 2022) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 13; Lenovo A5860) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/112.0.4447.38
Mozilla/5.0 (Linux; Android 8.1.0; Sony Xperia XZ1 Compact Dual) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 12; Keneksi StormKeneksi Storm) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 11; Wiko K-Kool) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/113.0.0.0
Mozilla/5.0 (Linux; Android 13; LG X Charge) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/108.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung Galaxy J1 Ace Neo) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; Oppo Reno 6 Pro+ 5G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/119.0.0.0
Mozilla/5.0 (Linux; Android 12; Tecno Spark 8TTecno Spark 8T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36 OPR/117.0.0.0
Mozilla/5.0 (Linux; Android 13; Samsung GT-C6712) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 12; Intex Aqua Lions 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.0.0 Safari/537.36 OPR/101.0.0.0
Mozilla/5.0 (Linux; Android 13; Hisense Infinity H50 Zoom) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Samsung SHW-M110S Galaxy S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 11; Acer Predator 8 GT-810Acer Predator 8 GT-810) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 OPR/100.0.0.0
Mozilla/5.0 (Linux; Android 13; Motorola Edge 20 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.2987.108 UCBrowser/101 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 12; Realme C31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 OPR/116.0.0.0
Mozilla/5.0 (Linux; Android 10; Intex aqua Y4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/107.0.0.0
Mozilla/5.0 (Linux; Android 11; Gigabyte g-YoYoGigabyte g-YoYo) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.2987.108 UCBrowser/110 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; iBall Andi 3.5V Grabit2iBall Andi 3.5V Grabit2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 9.0; LG Optimus LTE 2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/109.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; Micromax Spark Go) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.0.0 Safari/537.36 OPR/116.0.4447.38
Mozilla/5.0 (Linux; Android 12; Gigabyte GSmart Classic LTEGigabyte GSmart Classic LTE) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/109.0.2987.108 UCBrowser/120 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; Oppo Reno 4 Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 10; Oppo F7 Youth) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 OPR/99.0.0.0
Mozilla/5.0 (Linux; Android 8.1.0; LG KP500) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36 OPR/97.0.0.0
Mozilla/5.0 (Linux; Android 9.0; Intex Aqua Power M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 10; ZTE Rakuten Big) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36 OPR/98.0.0.0
Mozilla/5.0 (Linux; Android 12; Sony Xperia T LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.0.0 Safari/537.36 OPR/110.0.0.0
